l0 kb T theta_s kappa costheta Tr costheta_se
1.0 2.0 0.4 0.4510268117962624 1200 0.8366843555555548 0.2000000000000005 0.00043481407210064165
1.0 2.0 0.6 0.4510268117962624 300 0.5455905637019233 0.3000000000000045 0.0006521826642406845
1.0 2.0 0.6 0.4510268117962624 1200 0.5468199892857143 0.30000000000000454 0.0006265056275547515
1.0 2.0 0.75 0.4510268117962624 300 0.3807727597633137 0.375 0.0006873185753590024
1.0 2.0 0.75 0.4510268117962624 1200 0.38138970763723146 0.375 0.0006850996996162576
1.0 2.0 1.0 0.4510268117962624 300 0.23293025450450466 0.5 0.0010151939043674936
1.0 2.0 1.0 0.4510268117962624 1200 0.2283309954545453 0.5 0.0009478837877108827
1.0 2.0 1.5 0.4510268117962624 300 0.1169278832258065 0.75 0.0007135607759376975
1.0 2.0 1.5 0.4510268117962624 1200 0.11608380052151229 0.75 0.0007169206495268795
1.0 2.0 3.0 0.4510268117962624 300 0.04376131808959157 1.5 0.0006845372799371329
1.0 2.0 3.0 0.4510268117962624 1200 0.04245623715788083 1.5 0.0006923231992716702
1.0 4.0 0.01 0.4510268117962624 300 0.9499954156441709 0.0024999999999999554 2.508471388749967e-05
1.0 4.0 0.01 0.4510268117962624 1200 0.9499799039938542 0.0024999999999999554 2.5051592008044215e-05
1.0 4.0 0.02 0.4510268117962624 300 0.949998889570553 0.004999999999999911 2.4547936009203173e-05
1.0 4.0 0.02 0.4510268117962624 1200 0.950018101993865 0.004999999999999911 2.5783260563547996e-05
1.0 4.0 0.03 0.4510268117962624 300 0.9500359561875478 0.0075000000000001385 2.542853393153669e-05
1.0 4.0 0.03 0.4510268117962624 1200 0.9500281038461531 0.007500000000000138 2.499123834126739e-05
1.0 4.0 0.04 0.4510268117962624 300 0.9500187181259603 0.009999999999999822 2.55885802214192e-05
1.0 4.0 0.04 0.4510268117962624 1200 0.9499814073208738 0.009999999999999822 2.5583434410768387e-05
1.0 4.0 0.05 0.4510268117962624 300 0.9499581742482675 0.012499999999999702 2.4830106479076696e-05
1.0 4.0 0.05 0.4510268117962624 1200 0.9500294113584038 0.0124999999999997 2.5087251519348208e-05
1.0 4.0 0.075 0.4510268117962624 300 0.9499996250962285 0.018750000000000433 2.4581979440809964e-05
1.0 4.0 0.075 0.4510268117962624 1200 0.949980894980695 0.018750000000000433 2.5417156251799728e-05
1.0 4.0 0.1 0.4510268117962624 300 0.9500352780337925 0.024999999999999405 2.4272387442698635e-05
1.0 4.0 0.1 0.4510268117962624 1200 0.9499595552995395 0.024999999999999405 2.5651449498995983e-05
1.0 4.0 0.15 0.4510268117962624 300 0.950007274161735 0.03750000000000071 2.865376556794679e-05
1.0 4.0 0.15 0.4510268117962624 1200 0.9500250179104479 0.037500000000000706 2.980304893314932e-05
1.0 4.0 0.2 0.4510268117962624 300 0.950071693058568 0.049999999999999475 2.9294616538463896e-05
1.0 4.0 0.2 0.4510268117962624 1200 0.9500065318918924 0.04999999999999947 3.174723376750504e-05
1.0 4.0 0.25 0.4510268117962624 300 0.9500364794359583 0.0625 3.083788452293631e-05
1.0 4.0 0.25 0.4510268117962624 1200 0.9499746569086659 0.0625 3.229906308086388e-05
1.0 4.0 0.3 0.4510268117962624 300 0.9500045816929135 0.07500000000000143 2.9158381753853807e-05
1.0 4.0 0.3 0.4510268117962624 1200 0.9499317879684421 0.07500000000000143 2.9427968673600447e-05
1.0 4.0 0.4 0.4510268117962624 300 0.9491897359913793 0.09999999999999892 4.51223475494139e-05
1.0 4.0 0.4 0.4510268117962624 1200 0.9491039859913779 0.09999999999999892 4.632420508776863e-05
1.0 4.0 0.6 0.4510268117962624 300 0.9266410989010987 0.15000000000000283 0.00017671621673166494
1.0 4.0 0.6 0.4510268117962624 1200 0.9264625692921227 0.15000000000000283 0.00017690778294754295
1.0 4.0 0.75 0.4510268117962624 300 0.8659616285494998 0.1875 0.00029056669413131224
1.0 4.0 0.75 0.4510268117962624 1200 0.8662823653653657 0.1875 0.00032544607993980284
1.0 4.0 1.0 0.4510268117962624 300 0.6914232711058267 0.25 0.0005796331027108992
1.0 4.0 1.0 0.4510268117962624 1200 0.6913089212962963 0.25 0.0006326868793945779
1.0 4.0 1.5 0.4510268117962624 300 0.38099010497737584 0.375 0.000611105309137073
1.0 4.0 1.5 0.4510268117962624 1200 0.38251158928571455 0.375 0.0007163311371669901
1.0 4.0 3.0 0.4510268117962624 300 0.11699682441406248 0.75 0.0006175989876361963
1.0 4.0 3.0 0.4510268117962624 1200 0.11546675899094447 0.75 0.0007134896699340728
