l0 kb T theta_s kappa lp Tr lp_se
1.0 1.0 0.4 0.4510268117962624 300 0.98914176661998 0.39999999999999997 0.05235031477635386
1.0 1.0 0.4 0.4510268117962624 1200 0.9885593908537301 0.39999999999999997 0.03743963778449051
1.0 1.0 0.6 0.4510268117962624 300 0.7821057552715932 0.6 0.041526635300368445
1.0 1.0 0.6 0.4510268117962624 1200 0.8931758362557699 0.6 0.05225016717992965
1.0 1.0 0.75 0.4510268117962624 300 0.827509122975595 0.75 0.06942473810084793
1.0 1.0 0.75 0.4510268117962624 1200 0.8733543634401577 0.75 0.0323614430656405
1.0 1.0 1.0 0.4510268117962624 300 0.9251363634454777 1.0 0.0832348071793701
1.0 1.0 1.0 0.4510268117962624 1200 0.86165068347893 1.0 0.08117411526459971
1.0 1.0 1.5 0.4510268117962624 300 0.891060202988708 1.5 0.05005551739729639
1.0 1.0 1.5 0.4510268117962624 1200 0.7908073374613094 1.5 0.060498785821189324
1.0 1.0 3.0 0.4510268117962624 300 0.9058687295502995 3.0 0.03486110323600907
1.0 1.0 3.0 0.4510268117962624 1200 0.6752684989070467 3.0 0.0664123625457377
1.0 2.0 0.01 0.4510268117962624 300 19.535768111066563 0.005 0.03570749300072539
1.0 2.0 0.01 0.4510268117962624 1200 19.52342283334779 0.005 0.03434097998308113
1.0 2.0 0.02 0.4510268117962624 300 19.50922623697651 0.01 0.0508234037813398
1.0 2.0 0.02 0.4510268117962624 1200 19.447826970268935 0.01 0.025162391746890604
1.0 2.0 0.03 0.4510268117962624 300 19.474964015549546 0.015 0.03858375654744418
1.0 2.0 0.03 0.4510268117962624 1200 19.48132554190035 0.015 0.03963800493226328
1.0 2.0 0.04 0.4510268117962624 300 19.48892746119166 0.02 0.05212948070441889
1.0 2.0 0.04 0.4510268117962624 1200 19.473074565671915 0.02 0.025732830895979712
1.0 2.0 0.05 0.4510268117962624 300 19.48322310405745 0.024999999999999998 0.053503502234898935
1.0 2.0 0.05 0.4510268117962624 1200 19.46355327914476 0.024999999999999998 0.036626064542001256
1.0 2.0 0.075 0.4510268117962624 300 19.55763410482934 0.0375 0.06308393646318307
1.0 2.0 0.075 0.4510268117962624 1200 19.47194400530599 0.0375 0.03954318250106467
1.0 2.0 0.1 0.4510268117962624 300 19.576443309001764 0.049999999999999996 0.046108923937569844
1.0 2.0 0.1 0.4510268117962624 1200 19.51729793691772 0.049999999999999996 0.05326693155732259
1.0 2.0 0.15 0.4510268117962624 300 19.55236066537436 0.075 0.05238972743860892
1.0 2.0 0.15 0.4510268117962624 1200 19.4070287537078 0.075 0.033631134631588504
1.0 2.0 0.2 0.4510268117962624 300 19.135115826171322 0.09999999999999999 0.06570866081245295
1.0 2.0 0.2 0.4510268117962624 1200 19.191801815806638 0.09999999999999999 0.06112340083256666
1.0 2.0 0.25 0.4510268117962624 300 17.204411793004763 0.125 0.04152029624225989
1.0 2.0 0.25 0.4510268117962624 1200 17.22947087359601 0.125 0.04887335816490981
1.0 2.0 0.3 0.4510268117962624 300 13.058339355606806 0.15 0.04918301652356548
1.0 2.0 0.3 0.4510268117962624 1200 13.088348765881523 0.15 0.04031975763361727
1.0 2.0 0.4 0.4510268117962624 300 5.547906201352469 0.19999999999999998 0.016027347830929142
1.0 2.0 0.4 0.4510268117962624 1200 5.588958075449606 0.19999999999999998 0.023915171562060487
1.0 2.0 0.6 0.4510268117962624 300 1.6215319100171726 0.3 0.03851472601949331
1.0 2.0 0.6 0.4510268117962624 1200 1.6507430344818874 0.3 0.02672985603274547
1.0 2.0 0.75 0.4510268117962624 300 1.137368454416141 0.375 0.040958725808257344
1.0 2.0 0.75 0.4510268117962624 1200 1.1050244930781346 0.375 0.04776300186150498
1.0 2.0 1.0 0.4510268117962624 300 1.0072726094323576 0.5 0.03611252989908222
1.0 2.0 1.0 0.4510268117962624 1200 0.8874829294851774 0.5 0.05670303722504548
1.0 2.0 1.5 0.4510268117962624 300 0.9053527254079156 0.75 0.047440376328315534
1.0 2.0 1.5 0.4510268117962624 1200 0.8641166116157181 0.75 0.04910181902941023
1.0 2.0 3.0 0.4510268117962624 300 0.952096923190005 1.5 0.03820398226314434
1.0 2.0 3.0 0.4510268117962624 1200 0.9519466995164565 1.5 0.0388564071790274
1.0 4.0 0.01 0.4510268117962624 300 19.504277856508068 0.0025 0.04144950275160123
1.0 4.0 0.01 0.4510268117962624 1200 19.40307664710573 0.0025 0.044390779170657584
1.0 4.0 0.02 0.4510268117962624 300 19.469495659505114 0.005 0.04053726906474734
1.0 4.0 0.02 0.4510268117962624 1200 19.455550866988556 0.005 0.047282092606164026
1.0 4.0 0.03 0.4510268117962624 300 19.480299841535135 0.0075 0.03538664279098627
1.0 4.0 0.03 0.4510268117962624 1200 19.485136471925742 0.0075 0.03416660934172349
1.0 4.0 0.04 0.4510268117962624 300 19.442041167919058 0.01 0.057437099389397936
1.0 4.0 0.04 0.4510268117962624 1200 19.42826020423294 0.01 0.020856597799871635
1.0 4.0 0.05 0.4510268117962624 300 19.47785172342941 0.012499999999999999 0.050278549190326045
1.0 4.0 0.05 0.4510268117962624 1200 19.41440250484142 0.012499999999999999 0.03268295727350517
1.0 4.0 0.075 0.4510268117962624 300 19.40639012727638 0.01875 0.04380169804626377
1.0 4.0 0.075 0.4510268117962624 1200 19.53867507517446 0.01875 0.06934784753094145
1.0 4.0 0.1 0.4510268117962624 300 19.528783605757322 0.024999999999999998 0.03304234205221916
1.0 4.0 0.1 0.4510268117962624 1200 19.51437032264008 0.024999999999999998 0.037636161373383
1.0 4.0 0.15 0.4510268117962624 300 19.603182833547038 0.0375 0.026559216175068276
1.0 4.0 0.15 0.4510268117962624 1200 19.54725952581568 0.0375 0.039844129908174014
1.0 4.0 0.2 0.4510268117962624 300 19.53894611723173 0.049999999999999996 0.055731605783134214
1.0 4.0 0.2 0.4510268117962624 1200 19.483325226107656 0.049999999999999996 0.042547928151215386
1.0 4.0 0.25 0.4510268117962624 300 19.46439043683106 0.0625 0.04470040628274951
1.0 4.0 0.25 0.4510268117962624 1200 19.453246652654208 0.0625 0.051994745743920726
1.0 4.0 0.3 0.4510268117962624 300 19.532105395116425 0.075 0.0321500383689093
1.0 4.0 0.3 0.4510268117962624 1200 19.398753549196076 0.075 0.03355572479739916
1.0 4.0 0.4 0.4510268117962624 300 19.22336651600986 0.09999999999999999 0.04633404602130981
1.0 4.0 0.4 0.4510268117962624 1200 19.13976072020484 0.09999999999999999 0.06869077632138319
1.0 4.0 0.6 0.4510268117962624 300 13.082391748809066 0.15 0.04766543116660005
1.0 4.0 0.6 0.4510268117962624 1200 13.08688745729111 0.15 0.0369376039947841
1.0 4.0 0.75 0.4510268117962624 300 6.979226927091336 0.1875 0.01778124276621754
1.0 4.0 0.75 0.4510268117962624 1200 6.9541766817613695 0.1875 0.023149036835077543
1.0 4.0 1.0 0.4510268117962624 300 2.7037367078798544 0.25 0.009075217927660428
1.0 4.0 1.0 0.4510268117962624 1200 2.675432494699841 0.25 0.01872235655239057
1.0 4.0 1.5 0.4510268117962624 300 1.0752965798294174 0.375 0.027819787960642474
1.0 4.0 1.5 0.4510268117962624 1200 1.0785851606940777 0.375 0.024370011112313707
1.0 4.0 3.0 0.4510268117962624 300 0.8134953514014426 0.75 0.03445466036308536
1.0 4.0 3.0 0.4510268117962624 1200 0.8517475368468929 0.75 0.05308809798965727
1.0 0.1 0.01 0.4510268117962624 600.0 19.233715210772466 0.09999999999999999 0.06014396190351788
1.0 0.1 0.02 0.4510268117962624 600.0 5.608927490351618 0.19999999999999998 0.01483142711085759
1.0 0.1 0.03 0.4510268117962624 600.0 1.590738955226439 0.3 0.039530095979168935
1.0 0.1 0.04 0.4510268117962624 600.0 1.037573269567687 0.39999999999999997 0.056854124027327736
1.0 0.1 0.05 0.4510268117962624 600.0 1.0383981606308885 0.5 0.03802001222072095
1.0 0.1 0.075 0.4510268117962624 600.0 0.898482738241883 0.7499999999999999 0.04102272337994375
1.0 0.1 0.1 0.4510268117962624 600.0 0.8584744709735206 1.0 0.0734881414884802
1.0 0.1 0.15 0.4510268117962624 600.0 0.7917704858484339 1.4999999999999998 0.07624016617093511
1.0 0.1 0.2 0.4510268117962624 600.0 0.8002184141897427 2.0 0.05967466027526225
1.0 0.1 0.25 0.4510268117962624 600.0 0.9008719019134411 2.5 0.07010366701879278
1.0 0.1 0.3 0.4510268117962624 600.0 0.8585432403279516 2.9999999999999996 0.03646793457179331
1.0 0.1 0.4 0.4510268117962624 600.0 0.9571509980728199 4.0 0.07033951863609912
1.0 0.1 0.6 0.4510268117962624 600.0 0.8970561629562678 5.999999999999999 0.056115129472068925
1.0 0.1 0.75 0.4510268117962624 600.0 0.9284917535155105 7.5 0.06726789177617788
1.0 0.1 1.0 0.4510268117962624 600.0 0.9415702705336829 10.0 0.07547694487856556
1.0 0.1 1.5 0.4510268117962624 600.0 0.8596716547948255 15.0 0.04919294255051763
1.0 0.1 3.0 0.4510268117962624 600.0 0.8500471883238683 30.0 0.07497066537451855
1.0 1.0 0.01 0.4510268117962624 600.0 19.5318059779967 0.01 0.04533037952150311
1.0 1.0 0.02 0.4510268117962624 600.0 19.525094318658077 0.02 0.01939679569855473
1.0 1.0 0.03 0.4510268117962624 600.0 19.483300175495362 0.03 0.041188721274842355
1.0 1.0 0.04 0.4510268117962624 600.0 19.52429824140235 0.04 0.04836138653783801
1.0 1.0 0.05 0.4510268117962624 600.0 19.455349846237866 0.049999999999999996 0.04493815012540294
1.0 1.0 0.075 0.4510268117962624 600.0 19.456365557090727 0.075 0.06833614952673983
1.0 1.0 0.1 0.4510268117962624 600.0 19.107976834893773 0.09999999999999999 0.04747279059160119
1.0 1.0 0.15 0.4510268117962624 600.0 13.074330501476664 0.15 0.04715043325759167
1.0 1.0 0.2 0.4510268117962624 600.0 5.5854236949214275 0.19999999999999998 0.01990800789111007
1.0 1.0 0.25 0.4510268117962624 600.0 2.7032529937262586 0.25 0.029801655769528406
1.0 1.0 0.3 0.4510268117962624 600.0 1.6803343807834943 0.3 0.020174764208687714
1.0 1.0 0.4 0.4510268117962624 600.0 1.1500339905980765 0.39999999999999997 0.03754340017171741
1.0 1.0 0.6 0.4510268117962624 600.0 0.8163368358703877 0.6 0.06534361074300468
1.0 1.0 0.75 0.4510268117962624 600.0 0.774897939433161 0.75 0.07746790370048022
1.0 1.0 1.0 0.4510268117962624 600.0 0.8966960658849266 1.0 0.06354519184858545
1.0 1.0 1.5 0.4510268117962624 600.0 0.8006305988114217 1.5 0.06749116483018444
1.0 1.0 3.0 0.4510268117962624 600.0 0.8101153863677224 3.0 0.05052717564973715
1.0 2.0 0.01 0.4510268117962624 600.0 19.510777800067597 0.005 0.04197002563957673
1.0 2.0 0.02 0.4510268117962624 600.0 19.529972525338213 0.01 0.03463122773759602
1.0 2.0 0.03 0.4510268117962624 600.0 19.53734145046902 0.015 0.03377081365003388
1.0 2.0 0.04 0.4510268117962624 600.0 19.531238492495433 0.02 0.03866414069870705
1.0 2.0 0.05 0.4510268117962624 600.0 19.516901555187488 0.024999999999999998 0.050169277141066754
1.0 2.0 0.075 0.4510268117962624 600.0 19.514147953539595 0.0375 0.0336413214815368
1.0 2.0 0.1 0.4510268117962624 600.0 19.5658080030869 0.049999999999999996 0.05542100769292846
1.0 2.0 0.15 0.4510268117962624 600.0 19.438187167346133 0.075 0.030926363395449803
1.0 2.0 0.2 0.4510268117962624 600.0 19.171463523077158 0.09999999999999999 0.07611561400400813
1.0 2.0 0.25 0.4510268117962624 600.0 17.176306692258045 0.125 0.042375409486085654
1.0 2.0 0.3 0.4510268117962624 600.0 13.155770809302535 0.15 0.034395433869994066
1.0 2.0 0.4 0.4510268117962624 600.0 5.608725896501256 0.19999999999999998 0.02539629997765973
1.0 2.0 0.6 0.4510268117962624 600.0 1.6415835036425022 0.3 0.029036379691788853
1.0 2.0 0.75 0.4510268117962624 600.0 1.1556853183548585 0.375 0.034375689177983414
1.0 2.0 1.0 0.4510268117962624 600.0 0.9378642517453097 0.5 0.06539491677928101
1.0 2.0 1.5 0.4510268117962624 600.0 0.8102993272098675 0.75 0.042226730869052535
1.0 2.0 3.0 0.4510268117962624 600.0 0.8183738680209344 1.5 0.051400491992982474
1.0 4.0 0.01 0.4510268117962624 600.0 19.471777500049804 0.0025 0.022002149259401027
1.0 4.0 0.02 0.4510268117962624 600.0 19.50519931982685 0.005 0.034551377512712145
1.0 4.0 0.03 0.4510268117962624 600.0 19.513836837079023 0.0075 0.024908853976490144
1.0 4.0 0.04 0.4510268117962624 600.0 19.510985937281987 0.01 0.037697287968518574
1.0 4.0 0.05 0.4510268117962624 600.0 19.4627708734673 0.012499999999999999 0.043724380587022126
1.0 4.0 0.075 0.4510268117962624 600.0 19.443248962225404 0.01875 0.024167537340032186
1.0 4.0 0.1 0.4510268117962624 600.0 19.509973374503236 0.024999999999999998 0.04314229531961327
1.0 4.0 0.15 0.4510268117962624 600.0 19.506327914000693 0.0375 0.04317793508623079
1.0 4.0 0.2 0.4510268117962624 600.0 19.54636114268124 0.049999999999999996 0.03181141953988524
1.0 4.0 0.25 0.4510268117962624 600.0 19.440645130305523 0.0625 0.0229873820522773
1.0 4.0 0.3 0.4510268117962624 600.0 19.361939308090435 0.075 0.04065004688028379
1.0 4.0 0.4 0.4510268117962624 600.0 19.055925990655716 0.09999999999999999 0.03019706876638337
1.0 4.0 0.6 0.4510268117962624 600.0 13.038463139854489 0.15 0.04820670102740577
1.0 4.0 0.75 0.4510268117962624 600.0 6.938780113366771 0.1875 0.020647286046194865
1.0 4.0 1.0 0.4510268117962624 600.0 2.715275611022146 0.25 0.02652511670032634
