l0 kb T costheta_s kappa theta_s lp Tr lp_se
1.0 4.0 0.02 0.9 1200 0.4510268117962624 199.16629033869347 0.005 0.26829968791669384
1.0 4.0 0.03 0.9 300 0.4510268117962624 132.8449890526293 0.0075 0.3189648771786086
1.0 4.0 0.03 0.9 1200 0.4510268117962624 132.94749037674185 0.0075 0.28906495819082223
1.0 4.0 0.04 0.9 300 0.4510268117962624 99.45993748148031 0.01 0.18599784076701023
1.0 4.0 0.04 0.9 1200 0.4510268117962624 99.57273007081078 0.01 0.24864100970195607
1.0 4.0 0.05 0.9 300 0.4510268117962624 79.56355141869906 0.012499999999999999 0.09027294015219324
1.0 4.0 0.05 0.9 1200 0.4510268117962624 79.38533274983355 0.012499999999999999 0.130024703609509
1.0 4.0 0.075 0.9 300 0.4510268117962624 52.709399533144015 0.01875 0.10402613199904125
1.0 4.0 0.075 0.9 1200 0.4510268117962624 52.74564262878941 0.01875 0.0810371185127539
1.0 4.0 0.1 0.9 300 0.4510268117962624 39.5088061546453 0.024999999999999998 0.09918634687312343
1.0 4.0 0.1 0.9 1200 0.4510268117962624 39.58177112326834 0.024999999999999998 0.06423587732637974
1.0 4.0 0.15 0.9 300 0.4510268117962624 26.120785592534602 0.0375 0.07120233514030416
1.0 4.0 0.15 0.9 1200 0.4510268117962624 26.183733885779905 0.0375 0.048448442661399596
1.0 4.0 0.2 0.9 300 0.4510268117962624 19.488379654331247 0.049999999999999996 0.03081511468477835
1.0 4.0 0.2 0.9 1200 0.4510268117962624 19.49965094196076 0.049999999999999996 0.02564770728309814
1.0 4.0 0.25 0.9 300 0.4510268117962624 15.509966069044136 0.0625 0.037020124721518714
1.0 4.0 0.25 0.9 1200 0.4510268117962624 15.534920124679536 0.0625 0.029681009564717416
1.0 4.0 0.3 0.9 300 0.4510268117962624 12.817163630069814 0.075 0.017752668582503142
1.0 4.0 0.3 0.9 1200 0.4510268117962624 12.7684138181936 0.075 0.02550256974296125
1.0 4.0 0.4 0.9 300 0.4510268117962624 9.502085170132041 0.09999999999999999 0.023105280806087675
1.0 4.0 0.4 0.9 1200 0.4510268117962624 9.48230926382196 0.09999999999999999 0.016927897553244448
1.0 4.0 0.6 0.9 300 0.4510268117962624 6.149659329339691 0.15 0.015367968105404963
1.0 4.0 0.6 0.9 1200 0.4510268117962624 6.140106813478489 0.15 0.011633292365988642
1.0 4.0 1.0 0.9 300 0.4510268117962624 3.4927273821114384 0.25 0.015969635849131993
1.0 4.0 1.0 0.9 1200 0.4510268117962624 3.473280093424562 0.25 0.012358964490663272
