MCSweeps totalmoves Epair avg_Epair Ebond avg_Ebond Eangle avg_Eangle Etot avg_Etot time
7460 522270000 0 0 0 0 -692 -700.50335570469804 -703 -700.50335570469804 32911.641696113002 
7470 522970000 0 0 0 0 -692 -700.50335570469804 -703 -700.50335570469804 32954.261834580997 
7480 523670000 0 0 0 0 -692 -700.50335570469804 -707 -700.50335570469804 32997.029190219 
7490 524370000 0 0 0 0 -692 -700.50335570469804 -711 -700.50335570469804 33039.723814379002 
7500 525070000 0 0 0 0 -692 -700.50335570469804 -706 -700.50335570469804 33082.470841488997 
7510 525770000 0 0 0 0 -706 -700.54000000000008 -708 -700.54000000000008 33125.223267850997 
7520 526470000 0 0 0 0 -706 -700.54000000000008 -696 -700.54000000000008 33167.881477686002 
7530 527170000 0 0 0 0 -706 -700.54000000000008 -700 -700.54000000000008 33210.541568417997 
7540 527870000 0 0 0 0 -706 -700.54000000000008 -704 -700.54000000000008 33253.100116877002 
7550 528570000 0 0 0 0 -706 -700.54000000000008 -693 -700.54000000000008 33295.620856212998 
7560 529270000 0 0 0 0 -693 -700.49006622516561 -698 -700.49006622516561 33338.120198527002 
7570 529970000 0 0 0 0 -693 -700.49006622516561 -702 -700.49006622516561 33380.579257008001 
7580 530670000 0 0 0 0 -693 -700.49006622516561 -703 -700.49006622516561 33423.400958783001 
7590 531370000 0 0 0 0 -693 -700.49006622516561 -699 -700.49006622516561 33466.066548057999 
7600 532070000 0 0 0 0 -693 -700.49006622516561 -706 -700.49006622516561 33508.571171160002 
7610 532770000 0 0 0 0 -706 -700.52631578947364 -706 -700.52631578947364 33551.357479603001 
7620 533470000 0 0 0 0 -706 -700.52631578947364 -703 -700.52631578947364 33594.258954197998 
7630 534170000 0 0 0 0 -706 -700.52631578947364 -707 -700.52631578947364 33636.931892745997 
7640 534870000 0 0 0 0 -706 -700.52631578947364 -708 -700.52631578947364 33679.590911419 
7650 535570000 0 0 0 0 -706 -700.52631578947364 -706 -700.52631578947364 33722.263546064998 
7660 536270000 0 0 0 0 -706 -700.56209150326799 -703 -700.56209150326799 33764.897209909002 
7670 536970000 0 0 0 0 -706 -700.56209150326799 -705 -700.56209150326799 33807.483931584 
7680 537670000 0 0 0 0 -706 -700.56209150326799 -706 -700.56209150326799 33850.027537738002 
7690 538370000 0 0 0 0 -706 -700.56209150326799 -707 -700.56209150326799 33892.507506907998 
7700 539070000 0 0 0 0 -706 -700.56209150326799 -706 -700.56209150326799 33934.863027031999 
7710 539770000 0 0 0 0 -706 -700.59740259740261 -703 -700.59740259740261 33977.340061937997 
7720 540470000 0 0 0 0 -706 -700.59740259740261 -709 -700.59740259740261 34019.695680425997 
7730 541170000 0 0 0 0 -706 -700.59740259740261 -705 -700.59740259740261 34062.124236875999 
7740 541870000 0 0 0 0 -706 -700.59740259740261 -708 -700.59740259740261 34104.495525792001 
7750 542570000 0 0 0 0 -706 -700.59740259740261 -701 -700.59740259740261 34146.731611869996 
7760 543270000 0 0 0 0 -701 -700.60000000000002 -703 -700.60000000000002 34189.112604331996 
7770 543970000 0 0 0 0 -701 -700.60000000000002 -711 -700.60000000000002 34231.404459372003 
7780 544670000 0 0 0 0 -701 -700.60000000000002 -704 -700.60000000000002 34273.812347211999 
7790 545370000 0 0 0 0 -701 -700.60000000000002 -709 -700.60000000000002 34316.195592128999 
7800 546070000 0 0 0 0 -701 -700.60000000000002 -704 -700.60000000000002 34358.577312496003 
7810 546770000 0 0 0 0 -704 -700.62179487179492 -704 -700.62179487179492 34401.204173259997 
7820 547470000 0 0 0 0 -704 -700.62179487179492 -695 -700.62179487179492 34443.688890001002 
7830 548170000 0 0 0 0 -704 -700.62179487179492 -704 -700.62179487179492 34486.117600598998 
7840 548870000 0 0 0 0 -704 -700.62179487179492 -708 -700.62179487179492 34528.706983251002 
7850 549570000 0 0 0 0 -704 -700.62179487179492 -706 -700.62179487179492 34571.126660180998 
7860 550270000 0 0 0 0 -706 -700.656050955414 -707 -700.656050955414 34613.767104724 
7870 550970000 0 0 0 0 -706 -700.656050955414 -709 -700.656050955414 34656.226622875001 
7880 551670000 0 0 0 0 -706 -700.656050955414 -705 -700.656050955414 34698.843955728997 
7890 552370000 0 0 0 0 -706 -700.656050955414 -701 -700.656050955414 34741.475258685001 
7900 553070000 0 0 0 0 -706 -700.656050955414 -694 -700.656050955414 34783.838457274003 
7910 553770000 0 0 0 0 -694 -700.61392405063293 -698 -700.61392405063293 34826.342489101 
