l0 kb T costheta_s kappa theta_s lp Tr lp_se
1.0 1.0 0.15 0.9 600.0 0.4510268117962624 6.168059448864266 0.15 0.013635881306186723
1.0 1.0 0.2 0.9 600.0 0.4510268117962624 4.488101408610459 0.19999999999999998 0.017038530149198282
1.0 1.0 0.25 0.9 600.0 0.4510268117962624 3.481290804269969 0.25 0.010160828230880452
1.0 1.0 0.3 0.9 600.0 0.4510268117962624 2.830283150082351 0.3 0.017348383391488472
1.0 1.0 0.4 0.9 600.0 0.4510268117962624 2.0532602776686377 0.39999999999999997 0.01731322398094522
1.0 1.0 0.6 0.9 600.0 0.4510268117962624 1.361749581369839 0.6 0.04210446698324263
1.0 1.0 1.0 0.9 600.0 0.4510268117962624 1.0422668506173425 1.0 0.03251446032636744
1.0 2.0 0.005 0.9 600.0 0.4510268117962624 401.02234019596824 0.0025 0.6773928838084394
1.0 2.0 0.01 0.9 600.0 0.4510268117962624 200.06782759134796 0.005 0.4736610868036205
1.0 2.0 0.02 0.9 600.0 0.4510268117962624 99.67808354063766 0.01 0.1563546924839816
1.0 2.0 0.03 0.9 600.0 0.4510268117962624 66.23896607568295 0.015 0.07509741216618088
1.0 2.0 0.04 0.9 600.0 0.4510268117962624 49.43979397340836 0.02 0.13362785877537797
1.0 2.0 0.05 0.9 600.0 0.4510268117962624 39.542835106509244 0.024999999999999998 0.09727560054938862
1.0 2.0 0.075 0.9 600.0 0.4510268117962624 26.133490451585224 0.0375 0.05235723462241615
1.0 2.0 0.1 0.9 600.0 0.4510268117962624 19.496669497805875 0.049999999999999996 0.03837402793316706
1.0 2.0 0.15 0.9 600.0 0.4510268117962624 12.763534268650297 0.075 0.038039467490748546
1.0 2.0 0.2 0.9 600.0 0.4510268117962624 9.474080201095534 0.09999999999999999 0.022139015382167924
1.0 2.0 0.25 0.9 600.0 0.4510268117962624 7.4849347613455635 0.125 0.01781401712891322
1.0 2.0 0.3 0.9 600.0 0.4510268117962624 6.147157102753016 0.15 0.020125719528835014
1.0 2.0 0.4 0.9 600.0 0.4510268117962624 4.464062291360697 0.19999999999999998 0.012456697969898813
1.0 2.0 0.6 0.9 600.0 0.4510268117962624 2.8300839240773525 0.3 0.017896213534242447
1.0 2.0 1.0 0.9 600.0 0.4510268117962624 1.5931167656416063 0.5 0.030947971180808914
1.0 4.0 0.005 0.9 600.0 0.4510268117962624 798.3312276121794 0.00125 1.3544806784129275
1.0 4.0 0.01 0.9 600.0 0.4510268117962624 399.22585441470943 0.0025 1.1060415622649526
1.0 4.0 0.02 0.9 600.0 0.4510268117962624 199.2857897291707 0.005 0.4342232322566388
1.0 4.0 0.03 0.9 600.0 0.4510268117962624 132.62818189642311 0.0075 0.27363490154827375
1.0 4.0 0.04 0.9 600.0 0.4510268117962624 99.48588342437436 0.01 0.2022979641614885
1.0 4.0 0.05 0.9 600.0 0.4510268117962624 79.51686024450896 0.012499999999999999 0.15668777349645885
1.0 4.0 0.075 0.9 600.0 0.4510268117962624 52.77706837911943 0.01875 0.11758177170274337
1.0 4.0 0.1 0.9 600.0 0.4510268117962624 39.617875375257995 0.024999999999999998 0.07720260027109019
1.0 4.0 0.15 0.9 600.0 0.4510268117962624 26.164218439817244 0.0375 0.06223657864829173
1.0 4.0 0.2 0.9 600.0 0.4510268117962624 19.49386489361997 0.049999999999999996 0.039791298718517866
1.0 4.0 0.25 0.9 600.0 0.4510268117962624 15.458760311020498 0.0625 0.036807668975115934
